Unnamed: 0,Review,Liked,cleaned_review,predicted_sentiment,correct
0,Wow... Loved this place.,1,wow loved place,1,True
1,Crust is not good.,0,crust good,0,True
2,Not tasty and the texture was just nasty.,0,tasty texture nasty,0,True
3,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped late may bank holiday rick steve recommendation loved,1,True
4,The selection on the menu was great and so were the prices.,1,selection menu great price,1,True
5,Now I am getting angry and I want my damn pho.,0,getting angry want damn pho,0,True
6,Honeslty it didn't taste THAT fresh.),0,honeslty taste fresh,0,True
7,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potato like rubber could tell made ahead time kept warmer,0,True
8,The fries were great too.,1,fry great,1,True
9,A great touch.,1,great touch,1,True
10,Service was very prompt.,1,service prompt,1,True
11,Would not go back.,0,would go back,0,True
12,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier care ever say still ended wayyy overpriced,0,True
13,"I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!",1,tried cape cod ravoli chicken cranberry mmmm,1,True
14,I was disgusted because I was pretty sure that was human hair.,0,disgusted pretty sure human hair,0,True
15,I was shocked because no signs indicate cash only.,0,shocked sign indicate cash,0,True
16,Highly recommended.,1,highly recommended,1,True
17,Waitress was a little slow in service.,0,waitress little slow service,0,True
18,"This place is not worth your time, let alone Vegas.",0,place worth time let alone vega,0,True
19,did not like at all.,0,like,0,True
20,The Burrittos Blah!,0,burrittos blah,0,True
21,"The food, amazing.",1,food amazing,1,True
22,Service is also cute.,1,service also cute,1,True
23,I could care less... The interior is just beautiful.,1,could care less interior beautiful,1,True
24,So they performed.,1,performed,1,True
25,That's right....the red velvet cake.....ohhh this stuff is so good.,1,right red velvet cake ohhh stuff good,1,True
26,- They never brought a salad we asked for.,0,never brought salad asked,0,True
27,"This hole in the wall has great Mexican street tacos, and friendly staff.",1,hole wall great mexican street taco friendly staff,1,True
28,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food table restaurant food luke warm sever running around like totally overwhelmed,0,True
29,The worst was the salmon sashimi.,0,worst salmon sashimi,0,True
30,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also combo like burger fry beer decent deal,0,False
31,This was like the final blow!,0,like final blow,0,True
32,I found this place by accident and I could not be happier.,1,found place accident could happier,1,True
33,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like good quick place grab bite familiar pub food favor look elsewhere,0,True
34,"Overall, I like this place a lot.",1,overall like place lot,1,True
35,The only redeeming quality of the restaurant was that it was very inexpensive.,1,redeeming quality restaurant inexpensive,1,True
36,Ample portions and good prices.,1,ample portion good price,1,True
37,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter made feel like stupid every time came table,0,True
38,My first visit to Hiro was a delight!,1,first visit hiro delight,1,True
39,Service sucks.,0,service suck,0,True
40,The shrimp tender and moist.,1,shrimp tender moist,1,True
41,There is not a deal good enough that would drag me into that establishment again.,0,deal good enough would drag establishment,0,True
42,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,hard judge whether side good grossed melted styrofoam want eat fear getting sick,0,True
43,"On a positive note, our server was very attentive and provided great service.",1,positive note server attentive provided great service,1,True
44,"Frozen pucks of disgust, with some of the worst people behind the register.",0,frozen puck disgust worst people behind register,0,True
45,The only thing I did like was the prime rib and dessert section.,1,thing like prime rib dessert section,1,True
46,It's too bad the food is so damn generic.,0,bad food damn generic,0,True
47,"The burger is good beef, cooked just right.",1,burger good beef cooked right,1,True
48,If you want a sandwich just go to any Firehouse!!!!!,1,want sandwich go firehouse,1,True
49,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,side greek salad greek dressing tasty pita hummus refreshing,1,True
